efta_number,dataset,doj_served_bytes,classification,doj_pdf_link
EFTA00709804,9,0,empty (0 bytes),https://www.justice.gov/epstein/files/DataSet%209/EFTA00709804.pdf
EFTA00709805,9,0,empty (0 bytes),https://www.justice.gov/epstein/files/DataSet%209/EFTA00709805.pdf
EFTA00709806,9,0,empty (0 bytes),https://www.justice.gov/epstein/files/DataSet%209/EFTA00709806.pdf
EFTA00709807,9,0,empty (0 bytes),https://www.justice.gov/epstein/files/DataSet%209/EFTA00709807.pdf
EFTA00770595,9,0,empty (0 bytes),https://www.justice.gov/epstein/files/DataSet%209/EFTA00770595.pdf
EFTA00774768,9,45,broken stub (45 bytes),https://www.justice.gov/epstein/files/DataSet%209/EFTA00774768.pdf
EFTA00823190,9,0,empty (0 bytes),https://www.justice.gov/epstein/files/DataSet%209/EFTA00823190.pdf
EFTA00823191,9,0,empty (0 bytes),https://www.justice.gov/epstein/files/DataSet%209/EFTA00823191.pdf
EFTA00823192,9,0,empty (0 bytes),https://www.justice.gov/epstein/files/DataSet%209/EFTA00823192.pdf
EFTA00823221,9,0,empty (0 bytes),https://www.justice.gov/epstein/files/DataSet%209/EFTA00823221.pdf
EFTA00823319,9,0,empty (0 bytes),https://www.justice.gov/epstein/files/DataSet%209/EFTA00823319.pdf
EFTA00877475,9,0,empty (0 bytes),https://www.justice.gov/epstein/files/DataSet%209/EFTA00877475.pdf
EFTA00892252,9,0,empty (0 bytes),https://www.justice.gov/epstein/files/DataSet%209/EFTA00892252.pdf
EFTA00901740,9,0,empty (0 bytes),https://www.justice.gov/epstein/files/DataSet%209/EFTA00901740.pdf
EFTA00912980,9,0,empty (0 bytes),https://www.justice.gov/epstein/files/DataSet%209/EFTA00912980.pdf
EFTA00919433,9,0,empty (0 bytes),https://www.justice.gov/epstein/files/DataSet%209/EFTA00919433.pdf
EFTA00919434,9,0,empty (0 bytes),https://www.justice.gov/epstein/files/DataSet%209/EFTA00919434.pdf
EFTA00932520,9,0,empty (0 bytes),https://www.justice.gov/epstein/files/DataSet%209/EFTA00932520.pdf
EFTA00932521,9,0,empty (0 bytes),https://www.justice.gov/epstein/files/DataSet%209/EFTA00932521.pdf
EFTA00932522,9,0,empty (0 bytes),https://www.justice.gov/epstein/files/DataSet%209/EFTA00932522.pdf
EFTA00932523,9,0,empty (0 bytes),https://www.justice.gov/epstein/files/DataSet%209/EFTA00932523.pdf
EFTA01135215,9,2433,"native placeholder (""No Images Produced"")",https://www.justice.gov/epstein/files/DataSet%209/EFTA01135215.pdf
EFTA01135708,9,2433,"native placeholder (""No Images Produced"")",https://www.justice.gov/epstein/files/DataSet%209/EFTA01135708.pdf
