bates_number,status
HOUSE_OVERSIGHT_009974,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009975,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009976,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009977,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009978,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009979,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009980,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009981,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009982,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009983,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009984,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009985,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009986,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009987,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009988,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009989,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009990,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009991,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009992,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009993,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009994,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009995,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009996,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009997,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009998,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_009999,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010000,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010001,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010002,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010003,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010004,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010005,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010006,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010007,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010008,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010009,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010010,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010011,produced to House Oversight; not posted publicly
