efta_number,dataset,total_pages,match_type
EFTA00327648,9,1,TO_WOLFF
EFTA00328607,9,1,FROM_WOLFF
EFTA00328723,9,2,FROM_WOLFF
EFTA00328729,9,1,TO_WOLFF
EFTA00328744,9,1,TO_WOLFF
EFTA00328982,9,1,TO_WOLFF
EFTA00333690,9,1,TO_WOLFF
EFTA00333691,9,1,FROM_WOLFF
EFTA00333693,9,1,FROM_WOLFF
EFTA00333694,9,1,TO_WOLFF
EFTA00333703,9,1,FROM_WOLFF
EFTA00333714,9,1,TO_WOLFF
EFTA00333715,9,1,FROM_WOLFF
EFTA00333716,9,1,TO_WOLFF
EFTA00333789,9,1,TO_WOLFF
EFTA00333790,9,1,FROM_WOLFF
EFTA00335711,9,1,FROM_WOLFF
EFTA00335715,9,1,TO_WOLFF
EFTA00336196,9,1,TO_WOLFF
EFTA00347430,9,1,TO_WOLFF
EFTA00347451,9,1,TO_WOLFF
EFTA00347452,9,1,FROM_WOLFF
EFTA00347453,9,1,TO_WOLFF
EFTA00347625,9,1,FROM_WOLFF
EFTA00347626,9,1,TO_WOLFF
EFTA00347817,9,1,TO_WOLFF
EFTA00347818,9,1,TO_WOLFF
EFTA00347823,9,1,TO_WOLFF
EFTA00352182,9,2,FROM_WOLFF
EFTA00353265,9,2,FROM_WOLFF
EFTA00353267,9,1,TO_WOLFF
EFTA00353512,9,1,TO_WOLFF
EFTA00353814,9,1,TO_WOLFF
EFTA00353909,9,1,TO_WOLFF
EFTA00360363,9,1,FROM_WOLFF
EFTA00360446,9,1,TO_WOLFF
EFTA00360449,9,1,TO_WOLFF
EFTA00360560,9,1,TO_WOLFF
EFTA00361538,9,1,TO_WOLFF
EFTA00363533,9,1,TO_WOLFF
EFTA00363551,9,1,FROM_WOLFF
EFTA00363554,9,1,TO_WOLFF
EFTA00363555,9,1,FROM_WOLFF
EFTA00363556,9,1,TO_WOLFF
EFTA00364184,9,2,FROM_WOLFF
EFTA00364331,9,1,FROM_WOLFF
EFTA00364334,9,1,TO_WOLFF
EFTA00364335,9,1,FROM_WOLFF
EFTA00364496,9,1,TO_WOLFF
EFTA00365184,9,1,TO_WOLFF
EFTA00365210,9,1,TO_WOLFF
EFTA00368749,9,2,FROM_WOLFF
EFTA00371744,9,1,TO_WOLFF
EFTA00375391,9,2,FROM_WOLFF
EFTA00375667,9,1,TO_WOLFF
EFTA00376418,9,1,TO_WOLFF
EFTA00377062,9,1,TO_WOLFF
EFTA00377077,9,1,FROM_WOLFF
EFTA00377080,9,1,TO_WOLFF
EFTA00377137,9,1,FROM_WOLFF
EFTA00377138,9,1,TO_WOLFF
EFTA00380890,9,1,TO_WOLFF
EFTA00380921,9,1,TO_WOLFF
EFTA00384091,9,2,TO_WOLFF
EFTA00384219,9,1,TO_WOLFF
EFTA00384237,9,1,FROM_WOLFF
EFTA00384238,9,1,TO_WOLFF
EFTA00384240,9,1,FROM_WOLFF
EFTA00384403,9,1,TO_WOLFF
EFTA00385720,9,1,TO_WOLFF
EFTA00386517,9,1,TO_WOLFF
EFTA00386530,9,1,FROM_WOLFF
EFTA00386532,9,1,TO_WOLFF
EFTA00386537,9,1,FROM_WOLFF
EFTA00386629,9,1,TO_WOLFF
EFTA00386631,9,1,TO_WOLFF
EFTA00386632,9,2,FROM_WOLFF
EFTA00386856,9,1,FROM_WOLFF
EFTA00391058,9,1,TO_WOLFF
EFTA00391065,9,1,TO_WOLFF
EFTA00391066,9,1,TO_WOLFF
EFTA00391069,9,2,TO_WOLFF
EFTA00391072,9,2,TO_WOLFF
EFTA00391075,9,2,TO_WOLFF
EFTA00391085,9,1,TO_WOLFF
EFTA00391086,9,1,FROM_WOLFF
EFTA00391088,9,1,TO_WOLFF
EFTA00391104,9,3,TO_WOLFF
EFTA00391107,9,3,TO_WOLFF
EFTA00393710,9,1,FROM_WOLFF
EFTA00393821,9,1,FROM_WOLFF
EFTA00395223,9,1,EMAIL_ADDR+FROM
EFTA00395394,9,1,TO_WOLFF
EFTA00395396,9,1,FROM_WOLFF
EFTA00395401,9,1,TO_WOLFF
EFTA00399658,9,1,FROM_WOLFF
EFTA00399659,9,1,TO_WOLFF
EFTA00399723,9,2,TO_WOLFF
EFTA00399838,9,1,TO_WOLFF
EFTA00399979,9,1,FROM_WOLFF
EFTA00399980,9,1,TO_WOLFF
EFTA00399986,9,1,TO_WOLFF
EFTA00399988,9,1,FROM_WOLFF
EFTA00399990,9,1,TO_WOLFF
EFTA00399992,9,1,FROM_WOLFF
EFTA00399993,9,1,TO_WOLFF
EFTA00399996,9,1,TO_WOLFF
EFTA00400018,9,1,FROM_WOLFF
EFTA00400019,9,1,TO_WOLFF
EFTA00404472,9,2,FROM_WOLFF
EFTA00406342,9,1,FROM_WOLFF
EFTA00406357,9,1,TO_WOLFF
EFTA00406406,9,1,FROM_WOLFF
EFTA00406407,9,1,TO_WOLFF
EFTA00406416,9,1,FROM_WOLFF
EFTA00406417,9,1,TO_WOLFF
EFTA00406418,9,1,FROM_WOLFF
EFTA00406420,9,1,TO_WOLFF
EFTA00406423,9,1,TO_WOLFF
EFTA00406429,9,1,FROM_WOLFF
EFTA00406431,9,1,TO_WOLFF
EFTA00406432,9,2,FROM_WOLFF
EFTA00406434,9,2,TO_WOLFF
EFTA00406648,9,1,TO_WOLFF
EFTA00406838,9,1,TO_WOLFF
EFTA00408347,9,1,FROM_WOLFF
EFTA00408497,9,2,FROM_WOLFF
EFTA00408504,9,1,TO_WOLFF
EFTA00413454,9,1,TO_WOLFF
EFTA00413455,9,1,FROM_WOLFF
EFTA00413456,9,1,TO_WOLFF
EFTA00413970,9,2,FROM_WOLFF
EFTA00413978,9,1,FROM_WOLFF
EFTA00413979,9,1,TO_WOLFF
EFTA00413980,9,1,TO_WOLFF
EFTA00419212,9,1,TO_WOLFF
EFTA00419222,9,1,TO_WOLFF
EFTA00419773,9,2,FROM_WOLFF
EFTA00420301,9,1,TO_WOLFF
EFTA00420719,9,1,FROM_WOLFF
EFTA00426560,9,2,CC_WOLFF
EFTA00426562,9,2,FROM_WOLFF
EFTA00426564,9,2,TO_WOLFF
EFTA00426996,9,1,FROM_WOLFF
EFTA00426998,9,1,FROM_WOLFF
EFTA00429954,9,1,TO_WOLFF
EFTA00430397,9,1,CC_WOLFF
EFTA00430438,9,2,CC_WOLFF
EFTA00431308,9,3,FROM_WOLFF
EFTA00431311,9,3,FROM_WOLFF
EFTA00431314,9,1,TO_WOLFF
EFTA00431527,9,1,FROM_WOLFF
EFTA00432506,9,1,TO_WOLFF
EFTA00432509,9,1,TO_WOLFF
EFTA00432510,9,1,TO_WOLFF
EFTA00432676,9,1,TO_WOLFF
EFTA00432705,9,2,CC_WOLFF
EFTA00433013,9,1,TO_WOLFF
EFTA00433206,9,1,TO_WOLFF
EFTA00433257,9,1,FROM_WOLFF
EFTA00433278,9,1,TO_WOLFF
EFTA00433281,9,1,TO_WOLFF
EFTA00433282,9,2,TO_WOLFF
EFTA00433777,9,1,FROM_WOLFF
EFTA00433778,9,1,TO_WOLFF
EFTA00434581,9,1,TO_WOLFF
EFTA00440388,9,1,TO_WOLFF
EFTA00440396,9,1,FROM_WOLFF
EFTA00440400,9,1,TO_WOLFF
EFTA00440401,9,1,FROM_WOLFF
EFTA00440488,9,1,TO_WOLFF
EFTA00440490,9,1,FROM_WOLFF
EFTA00440637,9,1,TO_WOLFF
EFTA00440638,9,1,TO_WOLFF
EFTA00440639,9,1,FROM_WOLFF
EFTA00440643,9,1,TO_WOLFF
EFTA00445317,9,1,TO_WOLFF
EFTA00445318,9,1,FROM_WOLFF
EFTA00445319,9,1,TO_WOLFF
EFTA00449885,9,1,TO_WOLFF
EFTA00449912,9,1,FROM+TO
EFTA00449913,9,1,TO_WOLFF
EFTA00450508,9,1,FROM_WOLFF
EFTA00456683,9,1,TO_WOLFF
EFTA00457637,9,2,FROM_WOLFF
EFTA00459784,9,1,TO_WOLFF
EFTA00459935,9,1,FROM_WOLFF
EFTA00467699,9,1,TO_WOLFF
EFTA00467922,9,1,TO_WOLFF
EFTA00467923,9,1,FROM_WOLFF
EFTA00467925,9,1,FROM_WOLFF
EFTA00467926,9,1,FROM_WOLFF
EFTA00467927,9,1,TO_WOLFF
EFTA00467928,9,1,FROM_WOLFF
EFTA00467929,9,1,FROM_WOLFF
EFTA00467930,9,1,TO_WOLFF
EFTA00468688,9,1,TO_WOLFF
EFTA00468699,9,1,TO_WOLFF
EFTA00468725,9,1,FROM_WOLFF
EFTA00469675,9,1,TO_WOLFF
EFTA00469678,9,1,TO_WOLFF
EFTA00474324,9,1,FROM_WOLFF
EFTA00474377,9,1,FROM_WOLFF
EFTA00474380,9,1,TO_WOLFF
EFTA00478462,9,1,TO_WOLFF
EFTA00480537,9,2,FROM_WOLFF
EFTA00481811,9,1,FROM_WOLFF
EFTA00481830,9,1,TO_WOLFF
EFTA00481837,9,1,FROM_WOLFF
EFTA00481841,9,1,TO_WOLFF
EFTA00481892,9,1,FROM_WOLFF
EFTA00482102,9,1,TO_WOLFF
EFTA00482127,9,1,FROM_WOLFF
EFTA00482128,9,1,TO_WOLFF
EFTA00485619,9,1,TO_WOLFF
EFTA00485631,9,1,FROM_WOLFF
EFTA00485632,9,1,TO_WOLFF
EFTA00485633,9,1,FROM_WOLFF
EFTA00485972,9,1,TO_WOLFF
EFTA00486084,9,2,TO_WOLFF
EFTA00486488,9,2,FROM_WOLFF
EFTA00486724,9,1,TO_WOLFF
EFTA00488264,9,2,FROM_WOLFF
EFTA00489858,9,1,TO_WOLFF
EFTA00496121,9,1,TO_WOLFF
EFTA00496122,9,1,FROM_WOLFF
EFTA00496123,9,1,TO_WOLFF
EFTA00496124,9,1,FROM_WOLFF
EFTA00496149,9,1,TO_WOLFF
EFTA00496150,9,1,FROM_WOLFF
EFTA00496151,9,1,TO_WOLFF
EFTA00496155,9,1,FROM_WOLFF
EFTA00496160,9,1,TO_WOLFF
EFTA00496161,9,1,FROM_WOLFF
EFTA00496162,9,1,FROM_WOLFF
EFTA00496163,9,2,TO_WOLFF
EFTA00496165,9,2,FROM_WOLFF
EFTA00496167,9,2,FROM_WOLFF
EFTA00496169,9,2,FROM_WOLFF
EFTA00496171,9,2,FROM_WOLFF
EFTA00496176,9,2,FROM_WOLFF
EFTA00496178,9,2,FROM_WOLFF
EFTA00499371,9,1,TO_WOLFF
EFTA00499597,9,1,TO_WOLFF
EFTA00499648,9,1,TO_WOLFF
EFTA00499779,9,1,TO_WOLFF
EFTA00499836,9,1,TO_WOLFF
EFTA00500069,9,1,TO_WOLFF
EFTA00501048,9,1,TO_WOLFF
EFTA00548033,9,1,FROM_WOLFF
EFTA00561607,9,1,TO_WOLFF
EFTA00564254,9,2,FROM_WOLFF
EFTA00568774,9,1,FROM_WOLFF
EFTA00625470,9,1,FROM_WOLFF
EFTA00625602,9,1,FROM_WOLFF
EFTA00625806,9,2,FROM+TO
EFTA00626087,9,1,FROM_WOLFF
EFTA00626101,9,1,FROM_WOLFF
EFTA00626121,9,3,FROM+TO
EFTA00627818,9,1,FROM_WOLFF
EFTA00628301,9,1,FROM_WOLFF
EFTA00628436,9,1,FROM_WOLFF
EFTA00629223,9,1,FROM_WOLFF
EFTA00629238,9,2,FROM_WOLFF
EFTA00629945,9,1,FROM_WOLFF
EFTA00630023,9,1,FROM_WOLFF
EFTA00631225,9,2,FROM_WOLFF
EFTA00632029,9,2,FROM_WOLFF
EFTA00632086,9,1,FROM_WOLFF
EFTA00632181,9,1,FROM_WOLFF
EFTA00632602,9,1,FROM_WOLFF
EFTA00632603,9,1,FROM_WOLFF
EFTA00632637,9,2,FROM_WOLFF
EFTA00633483,9,1,FROM_WOLFF
EFTA00634677,9,2,FROM_WOLFF
EFTA00634835,9,3,FROM+TO
EFTA00634945,9,1,FROM_WOLFF
EFTA00635239,9,1,FROM_WOLFF
EFTA00635482,9,1,FROM_WOLFF
EFTA00635772,9,1,FROM_WOLFF
EFTA00636049,9,1,FROM_WOLFF
EFTA00636097,9,1,FROM_WOLFF
EFTA00636234,9,1,FROM_WOLFF
EFTA00636498,9,2,FROM_WOLFF
EFTA00636851,9,2,FROM_WOLFF
EFTA00637081,9,1,FROM_WOLFF
EFTA00637354,9,1,FROM_WOLFF
EFTA00637445,9,2,FROM_WOLFF
EFTA00637503,9,1,FROM_WOLFF
EFTA00637830,9,1,FROM_WOLFF
EFTA00638132,9,2,FROM_WOLFF
EFTA00638227,9,1,FROM_WOLFF
EFTA00638433,9,1,FROM_WOLFF
EFTA00638690,9,1,FROM_WOLFF
EFTA00638691,9,1,FROM_WOLFF
EFTA00639019,9,1,FROM_WOLFF
EFTA00640384,9,2,FROM_WOLFF
EFTA00640524,9,3,FROM_WOLFF
EFTA00640629,9,1,FROM_WOLFF
EFTA00641897,9,1,FROM_WOLFF
EFTA00642091,9,1,FROM_WOLFF
EFTA00642201,9,1,FROM_WOLFF
EFTA00642219,9,1,FROM_WOLFF
EFTA00642666,9,1,FROM_WOLFF
EFTA00642669,9,1,FROM_WOLFF
EFTA00643309,9,2,FROM_WOLFF
EFTA00643317,9,1,FROM_WOLFF
EFTA00643879,9,2,FROM_WOLFF
EFTA00645036,9,4,FROM+TO
EFTA00645190,9,1,FROM_WOLFF
EFTA00645665,9,3,FROM_WOLFF
EFTA00645842,9,1,FROM_WOLFF
EFTA00645850,9,1,FROM_WOLFF
EFTA00645881,9,1,FROM_WOLFF
EFTA00646103,9,1,FROM_WOLFF
EFTA00647964,9,1,FROM_WOLFF
EFTA00648031,9,1,FROM_WOLFF
EFTA00648191,9,1,FROM_WOLFF
EFTA00648204,9,1,FROM_WOLFF
EFTA00649641,9,1,FROM_WOLFF
EFTA00649658,9,2,FROM_WOLFF
EFTA00649725,9,1,FROM_WOLFF
EFTA00649889,9,1,FROM_WOLFF
EFTA00649935,9,2,FROM_WOLFF
EFTA00650025,9,1,FROM_WOLFF
EFTA00650417,9,5,FROM+TO
EFTA00650502,9,1,FROM_WOLFF
EFTA00650921,9,1,FROM_WOLFF
EFTA00651833,9,1,FROM_WOLFF
EFTA00651862,9,1,FROM_WOLFF
EFTA00652170,9,1,FROM_WOLFF
EFTA00652313,9,3,FROM_WOLFF
EFTA00653029,9,1,FROM_WOLFF
EFTA00653131,9,1,FROM_WOLFF
EFTA00653162,9,1,FROM_WOLFF
EFTA00653411,9,1,FROM_WOLFF
EFTA00654634,9,1,FROM_WOLFF
EFTA00655660,9,6,FROM+TO
EFTA00655730,9,1,FROM_WOLFF
EFTA00657004,9,1,FROM_WOLFF
EFTA00658398,9,1,FROM_WOLFF
EFTA00658602,9,1,FROM_WOLFF
EFTA00658677,9,1,FROM_WOLFF
EFTA00659692,9,1,FROM_WOLFF
EFTA00662032,9,2,FROM_WOLFF
EFTA00662040,9,3,FROM_WOLFF
EFTA00662047,9,2,FROM_WOLFF
EFTA00662049,9,1,FROM_WOLFF
EFTA00662547,9,1,FROM_WOLFF
EFTA00663341,9,1,FROM_WOLFF
EFTA00664238,9,1,FROM_WOLFF
EFTA00664261,9,1,FROM_WOLFF
EFTA00664655,9,1,FROM_WOLFF
EFTA00664969,9,5,EMAIL_ADDR
EFTA00665587,9,1,FROM_WOLFF
EFTA00665588,9,1,FROM_WOLFF
EFTA00666030,9,1,FROM_WOLFF
EFTA00666042,9,1,FROM_WOLFF
EFTA00666381,9,1,FROM_WOLFF
EFTA00667931,9,1,FROM_WOLFF
EFTA00669360,9,1,FROM_WOLFF
EFTA00669467,9,2,FROM+TO
